z1,z2,z3,z4,z5,z6,z7,z8,window,source,cluster
0.9352465,0.20736861,-1.3417625,-0.55726916,-0.57263947,-0.59142685,-0.07659638,0.98432535,41,十河1人目リラックスVID20250616115433.csv,4
0.82646745,0.24376981,-1.4665637,-0.48093128,-0.6139833,-0.513312,-0.12587214,0.8636762,42,十河1人目リラックスVID20250616115433.csv,4
0.71738476,0.27245808,-1.6068912,-0.35386243,-0.6176811,-0.4064544,-0.1883705,0.7327267,43,十河1人目リラックスVID20250616115433.csv,4
0.6070855,0.3064731,-1.6823778,-0.16239254,-0.6684888,-0.33023888,-0.21006644,0.5805485,44,十河1人目リラックスVID20250616115433.csv,4
0.51724,0.32139945,-1.7762936,0.06894686,-0.65976626,-0.21432763,-0.24833289,0.4460878,45,十河1人目リラックスVID20250616115433.csv,4
0.39708135,0.3201785,-1.7861378,0.23631991,-0.57527304,-0.10618,-0.253187,0.32511535,46,十河1人目リラックスVID20250616115433.csv,4
0.21725155,0.30978104,-1.8207731,0.36130884,-0.3417223,-0.02989573,-0.2681927,0.23189375,47,十河1人目リラックスVID20250616115433.csv,4
0.07793777,0.3578662,-1.7816144,0.5016233,-0.19523394,0.046096988,-0.25740495,0.16872737,48,十河1人目リラックスVID20250616115433.csv,4
0.0028713755,0.42450377,-1.7167116,0.616598,-0.11757652,0.12224096,-0.28351086,0.10439778,49,十河1人目リラックスVID20250616115433.csv,0
0.011820961,0.5162891,-1.6104537,0.6928148,-0.10801139,0.19821094,-0.3126924,0.040420063,50,十河1人目リラックスVID20250616115433.csv,0
-0.0095053315,0.5561666,-1.5513974,0.7435038,-0.061845355,0.26698297,-0.32619417,-0.042870667,51,十河1人目リラックスVID20250616115433.csv,0
-0.0002357997,0.6555106,-1.4398657,0.7624216,-0.041222095,0.34548455,-0.3414649,-0.066655725,52,十河1人目リラックスVID20250616115433.csv,0
-0.014084544,0.8012735,-1.3159897,0.81385034,0.0026717708,0.4033975,-0.3770879,-0.05561436,53,十河1人目リラックスVID20250616115433.csv,0
-0.009482227,0.9860608,-1.1709752,0.8171565,0.11841624,0.38114572,-0.41785887,0.034248278,54,十河1人目リラックスVID20250616115433.csv,0
-0.031066168,1.0864074,-1.0153061,0.8992434,0.18700233,0.45213813,-0.4459235,0.0341942,55,十河1人目リラックスVID20250616115433.csv,0
-0.0013693757,1.2062588,-0.8823273,0.906113,0.32136598,0.48741278,-0.4845919,0.112766676,56,十河1人目リラックスVID20250616115433.csv,0
0.009011995,1.3332509,-0.78046554,0.89307463,0.43296683,0.49862146,-0.49606985,0.20440558,57,十河1人目リラックスVID20250616115433.csv,0
0.0253818,1.4543722,-0.6659312,0.82544464,0.5642017,0.46951604,-0.5011581,0.33326095,58,十河1人目リラックスVID20250616115433.csv,6
0.06448288,1.5386798,-0.58174884,0.7333916,0.71096015,0.4222929,-0.5209511,0.44647077,59,十河1人目リラックスVID20250616115433.csv,6
0.107798696,1.5803609,-0.52123994,0.63574886,0.8430192,0.37665644,-0.53881544,0.5254454,60,十河1人目リラックスVID20250616115433.csv,6
0.19235337,1.6170982,-0.39396986,0.48183385,0.950936,0.30027732,-0.5018004,0.685791,61,十河1人目リラックスVID20250616115433.csv,6
0.27745628,1.6860248,-0.28935754,0.31121776,1.0786444,0.235774,-0.47952226,0.8537426,62,十河1人目リラックスVID20250616115433.csv,6
0.34782025,1.7544489,-0.20413983,0.12772694,1.1898441,0.14379348,-0.43309593,0.99842364,63,十河1人目リラックスVID20250616115433.csv,6
0.44069868,1.7871934,-0.14517295,-0.061505884,1.2742594,0.05297192,-0.35352454,1.1718533,64,十河1人目リラックスVID20250616115433.csv,6
0.57653683,1.7564565,-0.12092243,-0.2573856,1.2997148,0.008110584,-0.28644457,1.329019,65,十河1人目リラックスVID20250616115433.csv,6
0.7302641,1.7499614,-0.14749695,-0.49451688,1.2700486,-0.08832326,-0.25054884,1.4446799,66,十河1人目リラックスVID20250616115433.csv,6
0.8926935,1.7166499,-0.19545268,-0.73047274,1.2099767,-0.18442202,-0.23219419,1.550186,67,十河1人目リラックスVID20250616115433.csv,6
1.0282061,1.6663989,-0.29263288,-0.9028184,1.11295,-0.25219348,-0.21173145,1.583222,68,十河1人目リラックスVID20250616115433.csv,6
1.1606371,1.6086075,-0.38392228,-0.98213625,0.92075413,-0.2951031,-0.1379789,1.619086,69,十河1人目リラックスVID20250616115433.csv,6
1.2685314,1.6328486,-0.47026455,-0.99386275,0.66927505,-0.30948374,-0.104239464,1.5800886,70,十河1人目リラックスVID20250616115433.csv,6
0.8533249,-0.6191983,-2.2823281,0.19253653,-0.13200605,0.3575742,-0.3661359,0.21630374,0,十河1人目嬉しいVID20250616115335.csv,4
0.7765998,-0.6058744,-2.2846265,0.36711168,-0.1604514,0.51595116,-0.4424209,-0.02817657,1,十河1人目嬉しいVID20250616115335.csv,4
0.7346715,-0.5755307,-2.2634728,0.53851414,-0.14321488,0.61685395,-0.5132384,-0.21946588,2,十河1人目嬉しいVID20250616115335.csv,0
0.70191044,-0.5645965,-2.2125318,0.6293914,-0.1008221,0.67853457,-0.5511938,-0.3717043,3,十河1人目嬉しいVID20250616115335.csv,0
0.6878276,-0.54536873,-2.146808,0.6897644,-0.045252964,0.7356937,-0.5835756,-0.48822787,4,十河1人目嬉しいVID20250616115335.csv,0
0.63880914,-0.51287794,-2.1479616,0.8474389,0.06006816,0.800366,-0.6686527,-0.6175245,5,十河1人目嬉しいVID20250616115335.csv,0
0.56463295,-0.41428065,-2.0508342,0.9848449,0.13740611,0.9045252,-0.71919125,-0.66799337,6,十河1人目嬉しいVID20250616115335.csv,0
0.5176445,-0.27885437,-1.8785064,1.032031,0.20995642,1.0394967,-0.76360416,-0.7204421,7,十河1人目嬉しいVID20250616115335.csv,0
0.45891762,-0.1829127,-1.7439336,1.1712059,0.34211022,1.1576798,-0.86812246,-0.74299127,8,十河1人目嬉しいVID20250616115335.csv,0
0.42223835,-0.063054934,-1.5948027,1.2273836,0.44470125,1.2797785,-0.90598047,-0.7423313,9,十河1人目嬉しいVID20250616115335.csv,0
0.38138947,0.092194706,-1.458687,1.2806793,0.59112245,1.4000005,-0.9599161,-0.67484754,10,十河1人目嬉しいVID20250616115335.csv,0
0.28438377,0.22696519,-1.3298106,1.2986612,0.74374545,1.5050842,-0.99702275,-0.5656962,11,十河1人目嬉しいVID20250616115335.csv,0
0.1773876,0.37126628,-1.192386,1.3161374,0.9552357,1.576968,-1.0920265,-0.40709403,12,十河1人目嬉しいVID20250616115335.csv,0
0.121393114,0.4584289,-1.0526459,1.2608232,1.1134104,1.5668218,-1.1248581,-0.23434146,13,十河1人目嬉しいVID20250616115335.csv,0
0.100560606,0.50641924,-0.97060406,1.2076193,1.2234161,1.5592169,-1.1511179,-0.049291287,14,十河1人目嬉しいVID20250616115335.csv,0
0.109113544,0.5332827,-0.91530746,1.1386883,1.2633604,1.5265505,-1.1365771,0.119411476,15,十河1人目嬉しいVID20250616115335.csv,0
0.11589885,0.58360213,-0.82618636,1.079305,1.3387008,1.5370173,-1.1834435,0.23065704,16,十河1人目嬉しいVID20250616115335.csv,0
0.16661653,0.6424005,-0.7301697,0.9694784,1.4278225,1.5267361,-1.234895,0.36686385,17,十河1人目嬉しいVID20250616115335.csv,6
0.27579492,0.6993824,-0.6085179,0.8528065,1.5589329,1.4970584,-1.2975854,0.53672415,18,十河1人目嬉しいVID20250616115335.csv,6
0.38733163,0.763435,-0.5220602,0.69852245,1.6760135,1.4384007,-1.3201032,0.7414533,19,十河1人目嬉しいVID20250616115335.csv,6
0.51273,0.7985514,-0.48685583,0.51613843,1.7307067,1.3827462,-1.3781565,0.9357449,20,十河1人目嬉しいVID20250616115335.csv,6
0.63103145,0.8228512,-0.41691336,0.30280983,1.8193712,1.2889296,-1.4381621,1.142519,21,十河1人目嬉しいVID20250616115335.csv,6
0.7263543,0.83315057,-0.40413427,0.11682825,1.8426538,1.2242453,-1.4499245,1.3045259,22,十河1人目嬉しいVID20250616115335.csv,6
0.7925349,0.8439399,-0.4625334,-0.03278348,1.8489932,1.1585524,-1.4438742,1.3692054,23,十河1人目嬉しいVID20250616115335.csv,6
0.87758005,0.8429967,-0.5050984,-0.13429219,1.8406198,1.0634086,-1.3981415,1.4433832,24,十河1人目嬉しいVID20250616115335.csv,6
0.9380174,0.84445244,-0.5681498,-0.23186293,1.7758772,0.9930786,-1.3483812,1.4674728,25,十河1人目嬉しいVID20250616115335.csv,6
1.0119423,0.7975482,-0.62134105,-0.27712032,1.6830562,0.9145379,-1.2790362,1.5547571,26,十河1人目嬉しいVID20250616115335.csv,6
1.0069516,0.75427794,-0.67340595,-0.34361747,1.5404267,0.8497281,-1.2222643,1.6315683,27,十河1人目嬉しいVID20250616115335.csv,6
1.0087386,0.7121517,-0.80551654,-0.44754937,1.4245069,0.7831054,-1.140396,1.6658499,28,十河1人目嬉しいVID20250616115335.csv,6
1.0276128,0.6743957,-1.011204,-0.5845224,1.3387163,0.6869372,-1.0691853,1.6734697,29,十河1人目嬉しいVID20250616115335.csv,6
1.0005068,0.6263365,-1.2049245,-0.7025645,1.2127675,0.6071159,-0.9530405,1.6746497,30,十河1人目嬉しいVID20250616115335.csv,6
0.9999524,0.5688487,-1.3578368,-0.76603764,1.0560089,0.527238,-0.8176014,1.686763,31,十河1人目嬉しいVID20250616115335.csv,6
0.9916132,0.48557022,-1.5204853,-0.7973379,0.8895915,0.45949477,-0.68853754,1.6344668,32,十河1人目嬉しいVID20250616115335.csv,6
0.97973126,0.41283303,-1.6544685,-0.79635674,0.7077099,0.38532636,-0.5708632,1.5376146,33,十河1人目嬉しいVID20250616115335.csv,4
1.0387903,0.36412004,-1.8402815,-0.7759764,0.53042454,0.32044315,-0.49816838,1.3768245,34,十河1人目嬉しいVID20250616115335.csv,4
1.0588135,0.34298524,-2.121393,-0.7432077,0.29153913,0.32961646,-0.4251396,1.1580007,35,十河1人目嬉しいVID20250616115335.csv,4
1.0312012,0.36328098,-2.2637575,-0.674301,0.15793043,0.32976437,-0.41859713,1.0061865,36,十河1人目嬉しいVID20250616115335.csv,4
0.9925893,0.400328,-2.3716958,-0.5726894,0.026395213,0.3666908,-0.4381756,0.81259125,37,十河1人目嬉しいVID20250616115335.csv,4
0.91600275,0.44069272,-2.455742,-0.43682092,-0.053815998,0.4323722,-0.45809415,0.5786627,38,十河1人目嬉しいVID20250616115335.csv,4
0.8768151,0.42859116,-2.5028014,-0.23112346,-0.12403528,0.5360862,-0.45731267,0.29913262,39,十河1人目嬉しいVID20250616115335.csv,5
